iter	RMSE
0	74179.88035
1	73316.91564
2	72387.65672
3	71562.91749
4	70691.57421
5	70022.87785
6	69279.76723
7	68507.76441
8	67817.81205
9	67171.49621
10	66551.02394
11	65983.31656
12	65441.99541
13	64931.50075
14	64422.59717
15	63978.51761
16	63461.22337
17	62994.50685
18	62482.59941
19	62106.58758
20	61750.49187
21	61424.69185
22	61013.02309
23	60753.68712
24	60379.74705
25	60131.65909
26	59828.80937
27	59542.86897
28	59365.07352
29	59083.27504
30	58852.11404
31	58597.48141
32	58285.85084
33	58034.47194
34	57791.63171
35	57543.90471
36	57341.26666
37	57054.97968
38	56911.06009
39	56761.03501
40	56546.12515
41	56341.51204
42	56173.58432
43	55963.23042
44	55764.40544
45	55608.29714
46	55558.34421
47	55379.19099
48	55238.40508
49	55048.58472
50	54940.03408
51	54846.21614
52	54722.34526
53	54559.1753
54	54370.26864
55	54228.31085
56	54096.88014
57	54039.62976
58	53958.87941
59	53820.26805
60	53758.90984
61	53647.42053
62	53574.16177
63	53448.46452
64	53309.97848
65	53244.79565
66	53135.84941
67	52982.02624
68	52896.08131
69	52801.30031
70	52675.85856
71	52586.22496
72	52498.2905
73	52388.60514
74	52270.69972
75	52158.00499
76	52044.07054
77	51933.1818
78	51902.9041
79	51797.17948
80	51708.1723
81	51622.96499
82	51556.42666
83	51522.48426
84	51444.38778
85	51375.01197
86	51310.43363
87	51239.65926
88	51188.98314
89	51143.86506
90	51083.63983
91	51061.67431
92	50993.22039
93	50896.97695
94	50851.02439
95	50758.67756
96	50707.02519
97	50627.10235
98	50587.08501
99	50499.43669
100	50408.17587
101	50321.79455
102	50259.97273
103	50177.83673
104	50116.10848
105	50061.07091
106	50002.22744
107	49929.81005
108	49890.93916
109	49867.28851
110	49829.20048
111	49813.19004
112	49774.23611
113	49728.58821
114	49650.79135
115	49584.86261
116	49529.06883
117	49523.97083
118	49483.3963
119	49423.50221
120	49367.02826
121	49327.9367
122	49255.82926
123	49224.40464
124	49184.00767
125	49154.70673
126	49135.00691
127	49057.1873
128	48970.2603
129	48940.85632
130	48911.68057
131	48861.15693
132	48786.37313
133	48759.94423
134	48683.87665
135	48658.07431
136	48603.06876
137	48536.41664
138	48493.31688
139	48457.37899
140	48375.91272
141	48358.46553
142	48300.58879
143	48238.76139
144	48215.85368
145	48171.3201
146	48150.73387
147	48124.11303
148	48073.75765
149	48040.82329
150	48014.53346
151	48001.33562
152	47957.7938
153	47909.05624
154	47886.65256
155	47875.11512
156	47794.19001
157	47753.2832
158	47687.89237
159	47637.96679
160	47614.82871
161	47556.33828
162	47510.10408
163	47487.52681
164	47445.8522
165	47415.97285
166	47404.2711
167	47361.93435
168	47331.84931
169	47268.11033
170	47198.77954
171	47151.96895
172	47120.99333
173	47056.98934
174	47033.11406
175	46969.50205
176	46895.75503
177	46833.99488
178	46809.17055
179	46757.58352
180	46704.64132
181	46654.90837
182	46591.28629
183	46553.91219
184	46543.74863
185	46485.38098
186	46421.80124
187	46382.98736
188	46311.90055
189	46253.77803
190	46242.90087
191	46197.85909
192	46176.46843
193	46138.30892
194	46074.56299
195	46042.4059
196	45973.40489
197	45960.58055
198	45897.693
199	45868.76099
200	45822.92769
201	45813.19841
202	45774.46083
203	45757.34057
204	45722.85484
205	45694.00244
206	45632.54363
207	45600.36528
208	45560.95712
209	45517.69528
210	45458.87286
211	45412.80214
212	45401.98655
213	45363.74195
214	45337.8963
215	45287.75141
216	45265.92609
217	45209.15282
218	45176.80607
219	45169.01376
220	45118.62413
221	45093.9151
222	45079.35646
223	45021.97595
224	45008.80677
225	44967.41622
226	44919.06028
227	44871.24516
228	44824.18635
229	44809.63321
230	44796.42675
231	44764.68377
232	44750.7027
233	44714.09953
234	44700.36305
235	44688.66734
236	44663.3997
237	44652.04148
238	44596.42295
239	44576.4903
240	44564.60924
241	44552.79254
242	44515.93294
243	44500.00089
244	44492.50499
245	44464.35426
246	44455.38953
247	44421.66889
248	44406.12113
249	44376.70944
250	44369.88348
251	44336.58414
252	44285.77904
253	44255.86605
254	44244.30892
255	44237.16962
256	44206.53994
257	44197.61013
258	44174.58801
259	44167.46036
260	44151.52887
261	44139.27945
262	44079.08253
263	44029.63535
264	44023.16723
265	44014.38172
266	44004.37728
267	43996.72985
268	43988.18969
269	43982.00018
270	43935.9747
271	43905.57182
272	43874.43501
273	43862.9786
274	43808.2737
275	43802.84742
276	43796.53258
277	43763.68225
278	43757.55905
279	43749.14871
280	43721.71693
281	43671.52981
282	43664.75113
283	43626.30804
284	43621.37118
285	43603.93234
