iter	Passed	Remaining
0	0	492
1	0	385
2	1	346
3	1	314
4	1	303
5	1	293
6	2	284
7	2	279
8	2	281
9	2	281
10	3	278
11	3	277
12	3	273
13	3	270
14	4	269
15	4	267
16	4	264
17	4	261
18	5	259
19	5	257
20	5	256
21	5	255
22	5	254
23	6	252
24	6	252
25	6	251
26	6	251
27	7	250
28	7	250
29	7	250
30	8	250
31	8	251
32	8	251
33	8	250
34	9	249
35	9	249
36	9	248
37	9	248
38	10	247
39	10	246
40	10	247
41	10	247
42	11	246
43	11	246
44	11	246
45	11	245
46	12	244
47	12	243
48	12	243
49	12	242
50	12	241
51	13	241
52	13	239
53	13	239
54	13	239
55	14	238
56	14	238
57	14	237
58	14	235
59	15	236
60	15	233
61	15	233
62	15	233
63	15	232
64	16	232
65	16	232
66	16	232
67	16	232
68	17	232
69	17	232
70	17	232
71	17	231
72	18	231
73	18	231
74	18	231
75	18	230
76	19	230
77	19	230
78	19	228
79	19	228
80	20	227
81	20	227
82	20	227
83	20	227
84	21	226
85	21	226
86	21	226
87	21	226
88	22	225
89	22	225
90	22	224
91	22	223
92	22	223
93	23	223
94	23	223
95	23	223
96	23	222
97	24	222
98	24	222
99	24	222
100	24	221
101	25	221
102	25	221
103	25	221
104	25	221
105	26	220
106	26	220
107	26	220
108	26	220
109	27	219
110	27	219
111	27	218
112	27	218
113	28	217
114	28	217
115	28	217
116	28	216
117	28	215
118	29	215
119	29	214
120	29	214
121	29	214
122	30	214
123	30	214
124	30	215
125	30	215
126	31	215
127	31	215
128	31	215
129	32	215
130	32	215
131	32	214
132	32	214
133	33	214
134	33	214
135	33	214
136	34	214
137	34	214
138	34	214
139	34	214
140	35	214
141	35	214
142	35	214
143	36	214
144	36	214
145	36	214
146	36	213
147	37	214
148	37	214
149	37	214
150	38	214
151	38	213
152	38	213
153	38	213
154	39	213
155	39	212
156	39	212
157	39	212
158	40	212
159	40	212
160	40	211
161	40	211
162	41	211
163	41	211
164	41	211
165	41	210
166	42	210
167	42	210
168	42	210
169	43	210
170	43	210
171	43	210
172	43	209
173	44	209
174	44	209
175	44	209
176	44	208
177	45	208
178	45	208
179	45	208
180	46	208
181	46	207
182	46	207
183	46	207
184	47	207
185	47	207
186	47	206
187	47	206
188	48	207
189	48	206
